MP Name,mpConstituency,Party,MP Page Reference
Bridget Phillipson,Houghton and Sunderland South,Labour,/wiki/Bridget_Phillipson
Peter Kyle,Hove,Labour,/wiki/Peter_Kyle_(politician)
Barry Sheerman,Huddersfield,Labour Co-operative,/wiki/Barry_Sheerman
Jonathan Djanogly,Huntingdon,Conservative,/wiki/Jonathan_Djanogly
Graham Jones,Hyndburn,Labour,/wiki/Graham_Jones_(politician)
Wes Streeting,Ilford North,Labour,/wiki/Wes_Streeting
Mike Gapes,Ilford South,Labour Co-operative,/wiki/Mike_Gapes
Ronnie Cowan,Inverclyde,SNP,/wiki/Ronnie_Cowan_(politician)
Drew Hendry,"Inverness, Nairn, Badenoch and Strathspey",SNP,/wiki/Drew_Hendry
Sandy Martin,Ipswich,Conservative,/wiki/Sandy_Martin_(politician)
Bob Seely,Isle of Wight,Conservative,/wiki/Bob_Seely
Jeremy Corbyn,Islington North,Labour,/wiki/Jeremy_Corbyn
Emily Thornberry,Islington South and Finsbury,Labour,/wiki/Emily_Thornberry
Chris Evans,Islwyn,Labour Co-operative,/wiki/Chris_Evans_(UK_politician)
Stephen Hepburn,Jarrow,Labour,/wiki/Stephen_Hepburn
John Grogan,Keighley,Conservative,/wiki/John_Grogan_(British_politician)
Jeremy Wright,Kenilworth and Southam,Conservative,/wiki/Jeremy_Wright_(politician)
Emma Dent Coad,Kensington,Conservative,/wiki/Emma_Dent_Coad
Philip Hollobone,Kettering,Conservative,/wiki/Philip_Hollobone
Alan Brown,Kilmarnock and Loudoun,SNP,/wiki/Alan_Brown_(Scottish_politician)
Sir Ed Davey,Kingston and Surbiton,Conservative,/wiki/Ed_Davey
Karl Turner,Kingston upon Hull East,Labour,/wiki/Karl_Turner_(British_politician)
Diana Johnson,Kingston upon Hull North,Labour,/wiki/Diana_Johnson
Emma Hardy,Kingston upon Hull West and Hessle,Labour,/wiki/Emma_Hardy_(politician)
Chris Skidmore,Kingswood,Conservative,/wiki/Chris_Skidmore
Lesley Laird,Kirkcaldy and Cowdenbeath,SNP,/wiki/Lesley_Laird
George Howarth,Knowsley,Labour,/wiki/George_Howarth
Sir Jeffrey Donaldson,Lagan Valley,DUP,/wiki/Jeffrey_Donaldson
Angela Crawley,Lanark and Hamilton East,SNP,/wiki/Angela_Crawley
Cat Smith,Lancaster and Fleetwood,Labour,/wiki/Cat_Smith
Hilary Benn,Leeds Central,Labour,/wiki/Hilary_Benn
Richard Burgon,Leeds East,Labour,/wiki/Richard_Burgon
Fabian Hamilton,Leeds North East,Labour,/wiki/Fabian_Hamilton
Alex Sobel,Leeds North West,Liberal Democrats,/wiki/Alex_Sobel
Rachel Reeves,Leeds West,Labour,/wiki/Rachel_Reeves
Keith Vaz,Leicester East,Labour,/wiki/Keith_Vaz
Jon Ashworth,Leicester South,Labour Co-operative,/wiki/Jon_Ashworth
Liz Kendall,Leicester West,Labour,/wiki/Liz_Kendall
Jo Platt,Leigh,Labour,/wiki/Jo_Platt
Maria Caulfield,Lewes,Conservative,/wiki/Maria_Caulfield
Heidi Alexander,Lewisham East,Labour,/wiki/Heidi_Alexander
Ellie Reeves,Lewisham West and Penge,Labour,/wiki/Ellie_Reeves
Vicky Foxcroft,"Lewisham, Deptford",Labour,/wiki/Vicky_Foxcroft
John Cryer,Leyton and Wanstead,Labour,/wiki/John_Cryer
Michael Fabricant,Lichfield,Conservative,/wiki/Michael_Fabricant
Karen Lee,Lincoln,Conservative,/wiki/Karen_Lee_(politician)
Martyn Day,Linlithgow and East Falkirk,SNP,/wiki/Martyn_Day_(politician)
Louise Ellman,"Liverpool, Riverside",Labour Co-operative,/wiki/Louise_Ellman
Dan Carden,"Liverpool, Walton",Labour,/wiki/Dan_Carden
Luciana Berger,"Liverpool, Wavertree",Labour Co-operative,/wiki/Luciana_Berger
Stephen Twigg,"Liverpool, West Derby",Labour Co-operative,/wiki/Stephen_Twigg
Hannah Bardell,Livingston,SNP,/wiki/Hannah_Bardell
Nia Griffith,Llanelli,Labour,/wiki/Nia_Griffith
Nicky Morgan,Loughborough,Conservative,/wiki/Nicky_Morgan
Victoria Atkins,Louth and Horncastle,Conservative,/wiki/Victoria_Atkins
Philip Dunne,Ludlow,Conservative,/wiki/Philip_Dunne_(Ludlow_politician)
Kelvin Hopkins,Luton North,Labour,/wiki/Kelvin_Hopkins
Gavin Shuker,Luton South,Labour Co-operative,/wiki/Gavin_Shuker
David Rutley,Macclesfield,Conservative,/wiki/David_Rutley
Theresa May,Maidenhead,Conservative,/wiki/Theresa_May
Helen Grant,Maidstone and The Weald,Conservative,/wiki/Helen_Grant_(politician)
Yvonne Fovargue,Makerfield,Labour,/wiki/Yvonne_Fovargue
John Whittingdale,Maldon,Conservative,/wiki/John_Whittingdale
Lucy Powell,Manchester Central,Labour Co-operative,/wiki/Lucy_Powell
Afzal Khan,"Manchester, Gorton",Labour,/wiki/Afzal_Khan_(British_politician)
Jeff Smith,"Manchester, Withington",Labour,/wiki/Jeff_Smith_(British_politician)
Ben Bradley,Mansfield,Labour,/wiki/Ben_Bradley_(politician)
George Hollingbery,Meon Valley,Conservative,/wiki/George_Hollingbery
Dame Caroline Spelman,Meriden,Conservative,/wiki/Caroline_Spelman
Gerald Jones,Merthyr Tydfil and Rhymney,Labour,/wiki/Gerald_Jones
Nadine Dorries,Mid Bedfordshire,Conservative,/wiki/Nadine_Dorries
Pauline Latham,Mid Derbyshire,Conservative,/wiki/Pauline_Latham
Michael Tomlinson,Mid Dorset and North Poole,Conservative,/wiki/Michael_Tomlinson
George Freeman,Mid Norfolk,Conservative,/wiki/George_Freeman_(politician)
