MP Name,mpConstituency,Party,MP Page Reference
Jim Shannon,Strangford,DUP,/wiki/Jim_Shannon
Nadhim Zahawi,Stratford-on-Avon,Conservative,/wiki/Nadhim_Zahawi
Chuka Umunna,Streatham,Labour,/wiki/Chuka_Umunna
Kate Green,Stretford and Urmston,Labour,/wiki/Kate_Green
David Drew,Stroud,Conservative,/wiki/David_Drew_(politician)
Therese Coffey,Suffolk Coastal,Conservative,/wiki/Therese_Coffey
Julie Elliott,Sunderland Central,Labour,/wiki/Julie_Elliott
Michael Gove,Surrey Heath,Conservative,/wiki/Michael_Gove
Paul Scully,Sutton and Cheam,Conservative,/wiki/Paul_Scully
Andrew Mitchell,Sutton Coldfield,Conservative,/wiki/Andrew_Mitchell
Carolyn Harris,Swansea East,Labour,/wiki/Carolyn_Harris_(politician)
Geraint Davies,Swansea West,Labour Co-operative,/wiki/Geraint_Davies_(Labour_politician)
Christopher Pincher,Tamworth,Conservative,/wiki/Christopher_Pincher
Esther McVey,Tatton,Conservative,/wiki/Esther_McVey
Rebecca Pow,Taunton Deane,Conservative,/wiki/Rebecca_Pow
Lucy Allan,Telford,Conservative,/wiki/Lucy_Allan_(politician)
Laurence Robertson,Tewkesbury,Conservative,/wiki/Laurence_Robertson
Kevin Hollinrake,Thirsk and Malton,Conservative,/wiki/Kevin_Hollinrake
Luke Hall,Thornbury and Yate,Conservative,/wiki/Luke_Hall_(politician)
Jackie Doyle-Price,Thurrock,Conservative,/wiki/Jackie_Doyle-Price
Neil Parish,Tiverton and Honiton,Conservative,/wiki/Neil_Parish
Tom Tugendhat,Tonbridge and Malling,Conservative,/wiki/Tom_Tugendhat
Rosena Allin-Khan,Tooting,Labour,/wiki/Rosena_Allin-Khan
Kevin Foster,Torbay,Conservative,/wiki/Kevin_Foster_(politician)
Nick Thomas-Symonds,Torfaen,Labour,/wiki/Nick_Thomas-Symonds
Geoffrey Cox,Torridge and West Devon,Conservative,/wiki/Geoffrey_Cox_(British_politician)
Sarah Wollaston,Totnes,Conservative,/wiki/Sarah_Wollaston
David Lammy,Tottenham,Labour,/wiki/David_Lammy
Sarah Newton,Truro and Falmouth,Conservative,/wiki/Sarah_Newton
Greg Clark,Tunbridge Wells,Conservative,/wiki/Greg_Clark
Sir Vince Cable,Twickenham,Conservative,/wiki/Vince_Cable
Alan Campbell,Tynemouth,Labour,/wiki/Alan_Campbell_(politician)
David Simpson,Upper Bann,DUP,/wiki/David_Simpson_(Northern_Ireland_politician)
Boris Johnson,Uxbridge and South Ruislip,Conservative,/wiki/Boris_Johnson
Chris Ruane,Vale of Clwyd,Conservative,/wiki/Chris_Ruane
Alun Cairns,Vale of Glamorgan,Conservative,/wiki/Alun_Cairns
Kate Hoey,Vauxhall,Labour,/wiki/Kate_Hoey
Mary Creagh,Wakefield,Labour,/wiki/Mary_Creagh
Angela Eagle,Wallasey,Labour,/wiki/Angela_Eagle
Eddie Hughes,Walsall North,Labour,/wiki/Eddie_Hughes_(UK_politician)
Valerie Vaz,Walsall South,Labour,/wiki/Valerie_Vaz
Stella Creasy,Walthamstow,Labour Co-operative,/wiki/Stella_Creasy
Ian Lavery,Wansbeck,Labour,/wiki/Ian_Lavery
The Hon. Ed Vaizey,Wantage,Conservative,/wiki/Ed_Vaizey
John Spellar,Warley,Labour,/wiki/John_Spellar
Helen Jones,Warrington North,Labour,/wiki/Helen_Jones
Faisal Rashid,Warrington South,Conservative,/wiki/Faisal_Rashid
Matt Western,Warwick and Leamington,Conservative,/wiki/Matt_Western
Sharon Hodgson,Washington and Sunderland West,Labour,/wiki/Sharon_Hodgson
Richard Harrington,Watford,Conservative,/wiki/Richard_Harrington_(politician)
Peter Aldous,Waveney,Conservative,/wiki/Peter_Aldous
Nus Ghani,Wealden,Conservative,/wiki/Nus_Ghani
Mike Amesbury,Weaver Vale,Conservative,/wiki/Mike_Amesbury
Peter Bone,Wellingborough,Conservative,/wiki/Peter_Bone
James Heappey,Wells,Conservative,/wiki/James_Heappey
Grant Shapps,Welwyn Hatfield,Conservative,/wiki/Grant_Shapps
John Healey,Wentworth and Dearne,Labour,/wiki/John_Healey_(politician)
Andrew Bowie,West Aberdeenshire and Kincardine,SNP,/wiki/Andrew_Bowie_(politician)
Tom Watson,West Bromwich East,Labour,/wiki/Tom_Watson_(Labour_politician)
Adrian Bailey,West Bromwich West,Labour Co-operative,/wiki/Adrian_Bailey
Sir Oliver Letwin,West Dorset,Conservative,/wiki/Oliver_Letwin
Martin Docherty,West Dunbartonshire,SNP,/wiki/Martin_Docherty
Lyn Brown,West Ham,Labour,/wiki/Lyn_Brown_(politician)
Rosie Cooper,West Lancashire,Labour,/wiki/Rosie_Cooper
Matthew Hancock,West Suffolk,Conservative,/wiki/Matthew_Hancock
Barry McElduff,West Tyrone,Sinn Féin,/wiki/Barry_McElduff
Harriett Baldwin,West Worcestershire,Conservative,/wiki/Harriett_Baldwin
Karen Buck,Westminster North,Labour,/wiki/Karen_Buck
Tim Farron,Westmorland and Lonsdale,Liberal Democrats,/wiki/Tim_Farron
John Penrose,Weston-Super-Mare,Conservative,/wiki/John_Penrose
Lisa Nandy,Wigan,Labour,/wiki/Lisa_Nandy
Stephen Hammond,Wimbledon,Conservative,/wiki/Stephen_Hammond
Steve Brine,Winchester,Conservative,/wiki/Steve_Brine
Adam Afriyie,Windsor,Conservative,/wiki/Adam_Afriyie
Alison McGovern,Wirral South,Labour,/wiki/Alison_McGovern
Margaret Greenwood,Wirral West,Labour,/wiki/Margaret_Greenwood
Priti Patel,Witham,Conservative,/wiki/Priti_Patel
Robert Courts,Witney,Conservative,/wiki/Robert_Courts
Jonathan Lord,Woking,Conservative,/wiki/Jonathan_Lord
John Redwood,Wokingham,Conservative,/wiki/John_Redwood
Emma Reynolds,Wolverhampton North East,Labour,/wiki/Emma_Reynolds
Pat McFadden,Wolverhampton South East,Labour,/wiki/Pat_McFadden_(British_politician)
Eleanor Smith,Wolverhampton South West,Labour,/wiki/Eleanor_Smith_(politician)
The Hon. Robin Walker,Worcester,Conservative,/wiki/Robin_Walker
Sue Hayman,Workington,Labour,/wiki/Sue_Hayman
Barbara Keeley,Worsley and Eccles South,Labour,/wiki/Barbara_Keeley
Sir Peter Bottomley,Worthing West,Conservative,/wiki/Peter_Bottomley
Mark Pritchard,The Wrekin,Conservative,/wiki/Mark_Pritchard_(politician)
Ian Lucas,Wrexham,Labour,/wiki/Ian_Lucas
Steve Baker,Wycombe,Conservative,/wiki/Steve_Baker_(politician)
Ben Wallace,Wyre and Preston North,Conservative,/wiki/Ben_Wallace_(politician)
Mark Garnier,Wyre Forest,Conservative,/wiki/Mark_Garnier
Mike Kane,Wythenshawe and Sale East,Labour,/wiki/Mike_Kane
Marcus Fysh,Yeovil,Conservative,/wiki/Marcus_Fysh
Albert Owen,Ynys M�n,Labour,/wiki/Albert_Owen
Rachael Maskell,York Central,Labour Co-operative,/wiki/Rachael_Maskell
Julian Sturdy,York Outer,Conservative,/wiki/Julian_Sturdy
